timestamp_us,freq_hz,rssi_dbm,len,src,dst,cmdid,oneway,crc_ok,hex
1580572704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D300001EFA8E26711AA1145F94
1580596704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D300001EFA8E26711AA1145F94
1580622704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D300001EFA8E26711AA1145F94
1580646704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080D300001EFA8E26711AA1145F94
1580914704,868950000,-38,25,A58E29,00003F,0,1,1,F62000003FA58E29000143000000001EFBFC25275DC366DC90
1580938704,868950000,-38,25,A58E29,00003F,0,1,1,F60000003FA58E29000143000000001EFBFC25275DC3663912
1580962704,868950000,-38,25,A58E29,00003F,0,1,1,F60000003FA58E29000143000000001EFBFC25275DC3663912
1580986704,868950000,-38,25,A58E29,00003F,0,1,1,F60000003FA58E29000143000000001EFBFC25275DC3663912
1581014704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C00001EFC7EB99636886A3418
1581038704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C00001EFC7EB99636886A3418
1581062704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C00001EFC7EB99636886A3418
1581088704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF0143000C00001EFC7EB99636886A3418
1581120704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF001EFD9CCE6EA2C6CA91E0
1581144704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF001EFD9CCE6EA2C6CA91E0
1581168704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF001EFD9CCE6EA2C6CA91E0
1581194704,868950000,-38,27,A58E29,00003F,32,1,1,F80000003FA58E292002FF01430005FF001EFD9CCE6EA2C6CA91E0
1581220704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C800001EFEFA3463B143F5184F
1581246704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C800001EFEFA3463B143F5184F
1581270704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C800001EFEFA3463B143F5184F
1581294704,868950000,-38,27,A58E29,0001BF,0,1,1,F8000001BFA58E29000143000080C800001EFEFA3463B143F5184F
1588980704,868950000,-38,25,AA4E44,00003F,0,1,1,F62000003FAA4E4400016100000000146D7F0E298DFE36BD72
1589004704,868950000,-38,25,AA4E44,00003F,0,1,1,F60000003FAA4E4400016100000000146D7F0E298DFE3658F0
1589028704,868950000,-38,25,AA4E44,00003F,0,1,1,F60000003FAA4E4400016100000000146D7F0E298DFE3658F0
1589052704,868950000,-38,25,AA4E44,00003F,0,1,1,F60000003FAA4E4400016100000000146D7F0E298DFE3658F0
